U_imp,Frequency,Amplitude
0.1,0.0,15.54516863125686
0.1,0.09833333333333334,3.365609649528337
0.1,0.19666666666666668,1.285613604247248
0.1,0.29500000000000004,0.778546248540211
0.1,0.39333333333333337,1.621603834872659
0.1,0.4916666666666667,8.9432597422744
0.1,0.5900000000000001,6.536452837544022
0.1,0.6883333333333334,2.606346886686811
0.1,0.7866666666666667,1.579567080362842
0.1,0.8850000000000001,0.8882562175149388
0.1,0.9833333333333334,0.5470522764453521
0.1,1.0816666666666668,4.011044695516031
0.1,1.1800000000000002,1.8628749572029895
0.1,1.2783333333333335,1.4346523765089338
0.1,1.3766666666666667,1.2244461795197799
0.1,1.475,1.091405406532087
0.1,1.5733333333333335,0.9969184590913198
0.1,1.6716666666666669,0.9254549940522777
0.1,1.7700000000000002,0.8693117484122093
0.1,1.8683333333333334,0.8241288774752921
0.1,1.9666666666666668,0.7872081031369602
0.1,2.0650000000000004,0.7567704586293436
0.1,2.1633333333333336,0.7315881704016381
0.1,2.2616666666666667,0.7107854113776166
0.1,2.3600000000000003,0.6937229641231212
0.1,2.4583333333333335,0.6799278935002325
0.1,2.556666666666667,0.6690489386052595
0.1,2.6550000000000002,0.6608274279839059
0.1,2.7533333333333334,0.655078051095035
0.1,2.851666666666667,0.6516762194211003
0.41052631578947374,0.0,0.3090244543924618
0.41052631578947374,0.09833333333333334,9.293817352551756
0.41052631578947374,0.19666666666666668,3.416237080596364
0.41052631578947374,0.29500000000000004,1.7731668634592412
0.41052631578947374,0.39333333333333337,0.7712767964931971
0.41052631578947374,0.4916666666666667,1.6356763408671813
0.41052631578947374,0.5900000000000001,0.23964407921986494
0.41052631578947374,0.6883333333333334,11.444407936195756
0.41052631578947374,0.7866666666666667,3.8405255206225064
0.41052631578947374,0.8850000000000001,2.596765621137948
0.41052631578947374,0.9833333333333334,2.011011066897017
0.41052631578947374,1.0816666666666668,1.6058702184679678
0.41052631578947374,1.1800000000000002,1.125933554038289
0.41052631578947374,1.2783333333333335,5.008385552186286
0.41052631578947374,1.3766666666666667,1.7585894256866454
0.41052631578947374,1.475,1.4699369339866772
0.41052631578947374,1.5733333333333335,1.3233674509115267
0.41052631578947374,1.6716666666666669,1.2242626391571105
0.41052631578947374,1.7700000000000002,1.1498308477855639
0.41052631578947374,1.8683333333333334,1.0910973854478954
0.41052631578947374,1.9666666666666668,1.0435233266151527
0.41052631578947374,2.0650000000000004,1.0044477380838328
0.41052631578947374,2.1633333333333336,0.9721585431517443
0.41052631578947374,2.2616666666666667,0.9454854330244286
0.41052631578947374,2.3600000000000003,0.9235963799978417
0.41052631578947374,2.4583333333333335,0.9058857005150448
0.41052631578947374,2.556666666666667,0.8919080241413166
0.41052631578947374,2.6550000000000002,0.8813373857986071
0.41052631578947374,2.7533333333333334,0.8739411306858436
0.41052631578947374,2.851666666666667,0.8695631788021997
0.7210526315789474,0.0,4.519373085275488
0.7210526315789474,0.09833333333333334,10.35980220113587
0.7210526315789474,0.19666666666666668,2.255622116890007
0.7210526315789474,0.29500000000000004,1.2115566552966786
0.7210526315789474,0.39333333333333337,0.6945589559341985
0.7210526315789474,0.4916666666666667,0.3820232538212983
0.7210526315789474,0.5900000000000001,2.08094629725852
0.7210526315789474,0.6883333333333334,2.595518483221855
0.7210526315789474,0.7866666666666667,11.766157780150307
0.7210526315789474,0.8850000000000001,1.4384336566752975
0.7210526315789474,0.9833333333333334,1.0523544396330136
0.7210526315789474,1.0816666666666668,0.8884852301428167
0.7210526315789474,1.1800000000000002,0.8016966971120413
0.7210526315789474,1.2783333333333335,0.7712337529776343
0.7210526315789474,1.3766666666666667,0.857933799219647
0.7210526315789474,1.475,3.9314600886326465
0.7210526315789474,1.5733333333333335,0.5320000457259442
0.7210526315789474,1.6716666666666669,0.42661977674229135
0.7210526315789474,1.7700000000000002,0.4086776429550146
0.7210526315789474,1.8683333333333334,0.396546908049763
0.7210526315789474,1.9666666666666668,0.3857151238682933
0.7210526315789474,2.0650000000000004,0.3759362382633659
0.7210526315789474,2.1633333333333336,0.3672673764478075
0.7210526315789474,2.2616666666666667,0.35973157833072333
0.7210526315789474,2.3600000000000003,0.3533122399927312
0.7210526315789474,2.4583333333333335,0.34797326100259846
0.7210526315789474,2.556666666666667,0.343673136618371
0.7210526315789474,2.6550000000000002,0.3403727980474462
0.7210526315789474,2.7533333333333334,0.33803965774707245
0.7210526315789474,2.851666666666667,0.3366495972468493
1.0315789473684212,0.0,0.7135067145468648
1.0315789473684212,0.09833333333333334,12.03581255523977
1.0315789473684212,0.19666666666666668,0.853073312679913
1.0315789473684212,0.29500000000000004,0.8949121363700561
1.0315789473684212,0.39333333333333337,0.9898854166101836
1.0315789473684212,0.4916666666666667,1.1683369120121918
1.0315789473684212,0.5900000000000001,1.5743461349069225
1.0315789473684212,0.6883333333333334,4.790477770375139
1.0315789473684212,0.7866666666666667,1.205060443153923
1.0315789473684212,0.8850000000000001,10.552854209999557
1.0315789473684212,0.9833333333333334,2.382696383456271
1.0315789473684212,1.0816666666666668,0.9177621402859112
1.0315789473684212,1.1800000000000002,0.45649406802425296
1.0315789473684212,1.2783333333333335,0.20232203221622172
1.0315789473684212,1.3766666666666667,0.019028468170795676
1.0315789473684212,1.475,0.21476307457133315
1.0315789473684212,1.5733333333333335,0.607934062595942
1.0315789473684212,1.6716666666666669,2.7324552756701097
1.0315789473684212,1.7700000000000002,1.9416547536831847
1.0315789473684212,1.8683333333333334,0.7896921900274919
1.0315789473684212,1.9666666666666668,0.5048503125200219
1.0315789473684212,2.0650000000000004,0.3700993718520649
1.0315789473684212,2.1633333333333336,0.28943153339792743
1.0315789473684212,2.2616666666666667,0.23495753893309448
1.0315789473684212,2.3600000000000003,0.1955486429622906
1.0315789473684212,2.4583333333333335,0.16593262702190878
1.0315789473684212,2.556666666666667,0.14338385612859655
1.0315789473684212,2.6550000000000002,0.12648163108032465
1.0315789473684212,2.7533333333333334,0.114560515513608
1.0315789473684212,2.851666666666667,0.1074037574065277
1.342105263157895,0.0,3.546488900307682
1.342105263157895,0.09833333333333334,10.816491367506718
