Tiempo,S(t)
0.0,0.9999999999999998
0.20833333333333334,0.9366438934362803
0.4166666666666667,0.7604697718167697
0.625,0.509914036963169
0.8333333333333334,0.23897905283580945
1.0416666666666667,0.004634762659075864
1.25,-0.14644357337325997
1.4583333333333335,-0.1886878949137346
1.6666666666666667,-0.12346260584660873
1.875,0.02146268662489892
2.0833333333333335,0.19866529762928736
2.291666666666667,0.35245592318250346
2.5,0.4322197880597961
2.7083333333333335,0.4045733712164809
2.916666666666667,0.261475725071024
3.125,0.022383787881200767
3.3333333333333335,-0.2700595579137815
3.541666666666667,-0.5597963720943118
3.75,-0.7902924296132325
3.9583333333333335,-0.9176082563203837
4.166666666666667,-0.9205353567197713
4.375,-0.8054196297370484
4.583333333333334,-0.6045416661076617
4.791666666666667,-0.3684368219292895
5.0,-0.1539611625770398
