Time,S(t)
0.0,0.9999999999999999
0.1724137931034483,0.12122160048522979
0.3448275862068966,-0.000995185745484295
0.5172413793103449,-0.04479748405645384
0.6896551724137931,0.1364866099354976
0.8620689655172414,0.8150052139606702
1.0344827586206897,0.042868848906079615
1.206896551724138,-0.00011803273579613638
1.3793103448275863,-0.2514321554613621
1.5517241379310347,0.021655030558148547
1.7241379310344829,0.4233778085471259
1.896551724137931,0.0030940550938923783
2.0689655172413794,-0.014923783258725676
2.241379310344828,-0.6317727760086392
2.413793103448276,-0.12677018342573315
2.586206896551724,0.11871546696757085
2.7586206896551726,1.565814570114732e-06
2.931034482758621,-0.07535564035353093
3.1034482758620694,-0.953417745799511
3.2758620689655173,-0.16377309807785345
3.4482758620689657,0.010236475561770153
3.620689655172414,0.010993311565205444
3.793103448275862,-0.12437241526862508
3.9655172413793105,-0.9466155275802162
4.137931034482759,-0.08828132556890139
4.310344827586207,1.2172125026799208e-06
4.482758620689656,0.12418270216338312
4.655172413793104,-0.059107042591779846
4.827586206896552,-0.6180104714015915
5.0,-0.01646029449501074
