Tiempo,St
0.0,1.0
0.16666666666666666,0.966
0.3333333333333333,0.8520000000000001
0.5,0.6539999999999999
0.6666666666666666,0.43999999999999995
0.8333333333333333,0.258
1.0,-0.006000000000000005
1.1666666666666665,-0.11800000000000005
1.3333333333333333,-0.12999999999999995
1.5,-0.16599999999999998
1.6666666666666665,-0.11800000000000005
1.8333333333333333,-0.0040000000000000036
2.0,0.11600000000000005
2.1666666666666665,0.30800000000000005
2.333333333333333,0.39399999999999996
2.5,0.408
2.6666666666666665,0.43799999999999994
2.833333333333333,0.332
3.0,0.184
3.1666666666666665,-0.018000000000000016
3.333333333333333,-0.28600000000000003
3.5,-0.486
3.6666666666666665,-0.726
3.833333333333333,-0.8839999999999999
4.0,-0.9219999999999999
